time,dir,src,dst,bytes,loss_pct,dup_pct,rate_limit_mbps,delay_ms,jitter_ms,node,port
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49155,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49154,127.0.0.1:5000,10000,0,0,0,0,0,Companion:5000,5000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49154,127.0.0.1:5000,10000,0,0,0,0,0,Companion:5000,5000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49155,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49154,127.0.0.1:5000,10000,0,0,0,0,0,Companion:5000,5000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49154,127.0.0.1:5000,10000,0,0,0,0,0,Companion:5000,5000
2,in,10.30.0.2:49153,127.0.0.1:5760,10000,0,0,0,0,0,Flight:5760,5760
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.2:49155,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
2,in,10.30.0.1:49153,127.0.0.1:14550,10000,0,0,0,0,0,GCS:14550,14550
2,in,10.30.0.1:49154,127.0.0.1:8000,10000,0,0,0,0,0,Simulator:8000,8000
