time,dir,src,dst,bytes,loss_pct,dup_pct,rate_limit_mbps
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
2,in,10.20.0.1:49153,10.20.0.2:9000,600,0,0,0
